smiles,chembl_id,has_single_amine,amine_type,logP,MW,HDonors,HAcceptors
CC(C)NCC(O)COc1ccc(CCOC2CCCCC2)cc1,CHEMBL7250,True,secondary,3.3161000000000014,335.4880000000001,2,4
CN(C)c1ncnc2c1ncn2C,CHEMBL7977,True,tertiary,0.4292999999999999,177.21099999999998,0,4
Nc1nc(S)c2cc(Sc3ccc4ccccc4c3)ccc2n1,CHEMBL6686,True,primary,4.805100000000003,335.45700000000005,2,5
COC(=O)/C=C/CC1C(=O)N2[C@@H](C(=O)O)C(C)(C)S(=O)(=O)[C@H]12,CHEMBL6309,True,tertiary,-0.4495999999999991,331.346,1,6
c1ccc(Cn2cnc3c(N4CCC4)ncnc32)cc1,CHEMBL266675,True,tertiary,2.0846999999999998,265.32,0,4
Brc1cccc2[nH]c3c(c12)CCNC3,CHEMBL6426,True,secondary,2.5761000000000003,251.12699999999995,2,1
CCN(CC)c1nc2ccccc2n2cnnc12,CHEMBL7033,True,tertiary,2.1236999999999995,241.29800000000003,0,4
N=C(CP(=O)([O-])[O-])NCCC(=O)O.[Na+].[Na+],CHEMBL8013,True,secondary,-8.050330000000004,254.08999999999997,3,5
O=[N+]([O-])c1cc2c(cc3ccc4cccc5ccc2c3c45)o1,CHEMBL267206,True,tertiary,5.238400000000003,287.27400000000006,0,3
Cc1cc2c(cc1CC(C)N)OCO2,CHEMBL6376,True,primary,1.6134199999999996,193.24599999999995,1,3
CNc1ncnc2c1ncn2Cc1ccc(F)cc1,CHEMBL7071,True,secondary,2.0553999999999997,257.272,1,4
CCCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Cl)ccc1-2,CHEMBL6862,True,tertiary,2.6781000000000006,333.77500000000003,0,4
O=C(NCc1ccccc1)c1cc(-c2ccncc2)nnc1Cl,CHEMBL6551,True,secondary,3.1220000000000017,324.7710000000001,1,4
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccccc2C1=O,CHEMBL7298,True,tertiary,2.4132000000000007,313.3570000000001,0,4
CCCOc1cccc(C(=O)OCC(O)CNC(C)C)c1,CHEMBL7307,True,secondary,1.9911,295.379,2,5
CCOC(=O)c1ccc(N/C(S)=N/c2ccc3c(c2)C(C)(C)CC(C)(C)O3)cc1,CHEMBL7573,True,secondary,5.731400000000005,412.55500000000023,2,4
COc1c2occc2c(CN2CCOCC2)c2ccc(=O)oc12.Cl,CHEMBL428334,True,tertiary,2.8018000000000014,351.786,0,6
CCCCCC[C@H](C(=O)N1C[C@@H](Oc2ccc(CC(=O)O)cc2)C[C@H]1C(=O)O)n1cnc2cc(-c3ccccc3S(=O)(=O)O)ccc21,CHEMBL7740,True,tertiary,5.221700000000004,663.7490000000004,3,7
CC[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,CHEMBL7177,True,secondary,4.095900000000002,296.292,2,3
CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCCN2CCCC2)cc1)c1ccccc1,CHEMBL268389,True,tertiary,8.305200000000006,565.5390000000006,0,2
Cl.c1ccc(COc2noc3c2CNCC3)cc1,CHEMBL6587,True,secondary,2.3211000000000004,266.72799999999995,1,4
CCCC(=O)Nc1ccc(Oc2ccc(OC)cc2)cc1,CHEMBL8107,True,secondary,4.226100000000002,285.34299999999996,1,3
CNc1ncnc2c1ncn2Cc1ccccc1C(F)(F)F,CHEMBL268652,True,secondary,2.935100000000001,307.279,1,4
O=C1NC(=O)C(c2cn(CCOCCOCCO)c3ccccc23)=C1c1c[nH]c2ccccc12,CHEMBL7417,True,secondary,2.7153,459.50200000000007,3,5
S=C(Nc1ccc(Cl)cc1)OC(Cn1ccnc1)c1ccc(Cl)cc1Cl,CHEMBL8376,True,secondary,5.9982000000000015,426.7560000000001,1,3
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccc(Cl)cc2C1=O,CHEMBL415293,True,tertiary,3.066600000000002,347.80200000000013,0,4
COc1cccc2c3c([nH]c12)CNCC3,CHEMBL269571,True,secondary,1.8221999999999998,202.25699999999995,2,2
NS(=O)(=O)c1nc2ccc(O)cc2s1,CHEMBL6685,True,primary,0.6493,230.27,2,5
